gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
ANAPC4,1775,4.282209056732395,4.3304005,1.0,0.9684507042253521
UBE2T,1775,6.49748506540845,6.584597,0.9994366197183099,0.9949295774647887
ZBTB8A,1775,2.135856001350986,2.2116694,0.9149295774647888,0.1132394366197183
RNF145,1775,6.031638228478873,6.0856543,0.9988732394366198,0.9926760563380281
E4F1,1775,3.5885104661408453,3.679559,0.9994366197183099,0.7853521126760563
PEX2,1775,5.40128782112676,5.4279647,1.0,0.9988732394366198
BFAR,1775,6.06190926174648,6.0711427,1.0,0.9994366197183099
DZIP3,1775,2.8948265530929573,2.9400916,0.979718309859155,0.46816901408450706
SPSB4,1775,0.5042087142461972,0.02589061,0.16056338028169015,0.05464788732394366
RNF213,1775,5.044319050760563,5.016082,0.9994366197183099,0.9729577464788732
RNF13,1775,5.276426236619717,5.243943,1.0,0.9988732394366198
RTF1,1775,4.501199305239437,4.5403867,1.0,0.984225352112676
TRIM40,1775,0.03320217491661972,0.0,0.007323943661971831,0.0
UBE2U,1775,0.030863799440000002,0.0,0.0033802816901408453,0.0
KCTD9,1775,4.838889201847887,4.8813806,0.9977464788732394,0.9774647887323944
FBXO42,1775,3.4708512018563376,3.4763947,0.9994366197183099,0.8056338028169014
KLHL6,1775,0.6665648461470424,0.025842428,0.15267605633802817,0.12169014084507042
BRCA1,1775,4.195356995346478,4.321387,0.9949295774647887,0.8794366197183099
RNF34,1775,5.07241721143662,5.0802865,1.0,0.9966197183098592
FBXO48,1775,1.0007749081723942,0.9379967,0.4405633802816901,0.0016901408450704226
USP9X,1775,4.9514571803380285,5.00105,1.0,0.9830985915492958
KCTD13,1775,3.50449886731831,3.5153215,0.9977464788732394,0.7487323943661972
INSIG2,1775,4.947995303802817,4.888242,0.9994366197183099,0.9898591549295774
SPRTN,1775,3.57718136,3.615428,1.0,0.8636619718309859
RNF186,1775,0.13802219043042252,0.0,0.044507042253521124,0.011830985915492958
KCTD8,1775,0.18982119420112678,0.0,0.06253521126760564,0.005633802816901409
LMO7,1775,5.306553270822536,5.4009137,0.9915492957746479,0.8816901408450705
TRIM26,1775,4.551415916512676,4.557024,0.9988732394366198,0.9819718309859155
KCTD10,1775,4.929702705070422,4.966938,1.0,0.992112676056338
FBXO16,1775,1.901400794870986,2.0020509,0.8028169014084507,0.13070422535211268
PLK1,1775,5.7579378926028175,5.9922633,0.9960563380281691,0.9695774647887324
L3MBTL3,1775,2.3625261541757747,2.3725314,0.923943661971831,0.2343661971830986
TAF1,1775,4.237388361577465,4.273165,1.0,0.9509859154929577
KLHL20,1775,3.732746130388733,3.7589853,0.9994366197183099,0.8766197183098592
CDC27,1775,5.730918383380281,5.826093,1.0,0.9966197183098592
TOMM40,1775,6.042254087323943,6.1012635,1.0,0.9994366197183099
ANKIB1,1775,4.415250360394366,4.4634,1.0,0.9667605633802817
RBX1,1775,6.30292380484507,6.3278437,1.0,0.9994366197183099
SHPRH,1775,2.359927666484507,2.338818,0.956056338028169,0.19718309859154928
KLHL11,1775,1.78246069592,1.7489763,0.8974647887323943,0.048450704225352116
FBXW8,1775,2.837136029042253,2.8483496,0.9938028169014085,0.40619718309859154
DTX3L,1775,3.5839247463898594,3.721996,0.9515492957746479,0.7284507042253521
FBXW2,1775,4.193865857802817,4.2533693,1.0,0.9656338028169014
RNF111,1775,4.417035927830986,4.496194,1.0,0.9628169014084507
UBE3D,1775,2.232558656146479,2.2007554,0.979718309859155,0.11492957746478873
